,Region,Country,State,City,Month,Day,Year,AvgTemperature,AvgTemp_Celcius,data,mes_ano
123,South/Central America & Carribean,Brazil,,Brasilia,5,4,1995,71.9,22.16666666666667,1995-05-04,1995-05
124,South/Central America & Carribean,Brazil,,Brasilia,5,5,1995,71.0,21.666666666666668,1995-05-05,1995-05
125,South/Central America & Carribean,Brazil,,Brasilia,5,6,1995,69.7,20.944444444444443,1995-05-06,1995-05
126,South/Central America & Carribean,Brazil,,Brasilia,5,7,1995,70.5,21.38888888888889,1995-05-07,1995-05
127,South/Central America & Carribean,Brazil,,Brasilia,5,8,1995,69.5,20.833333333333332,1995-05-08,1995-05
128,South/Central America & Carribean,Brazil,,Brasilia,5,9,1995,74.7,23.72222222222222,1995-05-09,1995-05
129,South/Central America & Carribean,Brazil,,Brasilia,5,10,1995,73.2,22.88888888888889,1995-05-10,1995-05
130,South/Central America & Carribean,Brazil,,Brasilia,5,11,1995,72.4,22.444444444444446,1995-05-11,1995-05
131,South/Central America & Carribean,Brazil,,Brasilia,5,12,1995,71.3,21.833333333333332,1995-05-12,1995-05
132,South/Central America & Carribean,Brazil,,Brasilia,5,13,1995,70.3,21.27777777777778,1995-05-13,1995-05
133,South/Central America & Carribean,Brazil,,Brasilia,5,14,1995,72.1,22.277777777777775,1995-05-14,1995-05
134,South/Central America & Carribean,Brazil,,Brasilia,5,15,1995,71.9,22.16666666666667,1995-05-15,1995-05
135,South/Central America & Carribean,Brazil,,Brasilia,5,16,1995,71.3,21.833333333333332,1995-05-16,1995-05
136,South/Central America & Carribean,Brazil,,Brasilia,5,17,1995,72.0,22.22222222222222,1995-05-17,1995-05
137,South/Central America & Carribean,Brazil,,Brasilia,5,18,1995,71.5,21.944444444444443,1995-05-18,1995-05
138,South/Central America & Carribean,Brazil,,Brasilia,5,19,1995,71.0,21.666666666666668,1995-05-19,1995-05
139,South/Central America & Carribean,Brazil,,Brasilia,5,20,1995,69.4,20.777777777777782,1995-05-20,1995-05
140,South/Central America & Carribean,Brazil,,Brasilia,5,21,1995,67.3,19.61111111111111,1995-05-21,1995-05
141,South/Central America & Carribean,Brazil,,Brasilia,5,22,1995,67.5,19.72222222222222,1995-05-22,1995-05
142,South/Central America & Carribean,Brazil,,Brasilia,5,23,1995,68.9,20.500000000000004,1995-05-23,1995-05
143,South/Central America & Carribean,Brazil,,Brasilia,5,24,1995,69.0,20.555555555555557,1995-05-24,1995-05
144,South/Central America & Carribean,Brazil,,Brasilia,5,25,1995,68.6,20.33333333333333,1995-05-25,1995-05
145,South/Central America & Carribean,Brazil,,Brasilia,5,26,1995,69.2,20.666666666666668,1995-05-26,1995-05
146,South/Central America & Carribean,Brazil,,Brasilia,5,27,1995,69.0,20.555555555555557,1995-05-27,1995-05
147,South/Central America & Carribean,Brazil,,Brasilia,5,28,1995,67.3,19.61111111111111,1995-05-28,1995-05
148,South/Central America & Carribean,Brazil,,Brasilia,5,29,1995,66.1,18.944444444444443,1995-05-29,1995-05
149,South/Central America & Carribean,Brazil,,Brasilia,5,30,1995,65.6,18.666666666666664,1995-05-30,1995-05
150,South/Central America & Carribean,Brazil,,Brasilia,5,31,1995,67.0,19.444444444444443,1995-05-31,1995-05
151,South/Central America & Carribean,Brazil,,Brasilia,6,1,1995,67.9,19.944444444444446,1995-06-01,1995-06
152,South/Central America & Carribean,Brazil,,Brasilia,6,2,1995,67.7,19.833333333333332,1995-06-02,1995-06
153,South/Central America & Carribean,Brazil,,Brasilia,6,3,1995,65.6,18.666666666666664,1995-06-03,1995-06
154,South/Central America & Carribean,Brazil,,Brasilia,6,4,1995,66.6,19.222222222222218,1995-06-04,1995-06
155,South/Central America & Carribean,Brazil,,Brasilia,6,5,1995,65.4,18.555555555555557,1995-06-05,1995-06
156,South/Central America & Carribean,Brazil,,Brasilia,6,6,1995,62.5,16.944444444444443,1995-06-06,1995-06
157,South/Central America & Carribean,Brazil,,Brasilia,6,7,1995,61.7,16.5,1995-06-07,1995-06
158,South/Central America & Carribean,Brazil,,Brasilia,6,8,1995,60.3,15.722222222222221,1995-06-08,1995-06
159,South/Central America & Carribean,Brazil,,Brasilia,6,9,1995,61.9,16.61111111111111,1995-06-09,1995-06
160,South/Central America & Carribean,Brazil,,Brasilia,6,10,1995,61.9,16.61111111111111,1995-06-10,1995-06
161,South/Central America & Carribean,Brazil,,Brasilia,6,11,1995,64.6,18.111111111111107,1995-06-11,1995-06
162,South/Central America & Carribean,Brazil,,Brasilia,6,12,1995,64.9,18.277777777777782,1995-06-12,1995-06
163,South/Central America & Carribean,Brazil,,Brasilia,6,13,1995,63.4,17.444444444444443,1995-06-13,1995-06
164,South/Central America & Carribean,Brazil,,Brasilia,6,14,1995,64.6,18.111111111111107,1995-06-14,1995-06
165,South/Central America & Carribean,Brazil,,Brasilia,6,15,1995,65.9,18.833333333333336,1995-06-15,1995-06
166,South/Central America & Carribean,Brazil,,Brasilia,6,16,1995,66.1,18.944444444444443,1995-06-16,1995-06
167,South/Central America & Carribean,Brazil,,Brasilia,6,17,1995,66.9,19.388888888888893,1995-06-17,1995-06
168,South/Central America & Carribean,Brazil,,Brasilia,6,18,1995,66.5,19.166666666666668,1995-06-18,1995-06
169,South/Central America & Carribean,Brazil,,Brasilia,6,19,1995,66.6,19.222222222222218,1995-06-19,1995-06
170,South/Central America & Carribean,Brazil,,Brasilia,6,20,1995,66.7,19.27777777777778,1995-06-20,1995-06
171,South/Central America & Carribean,Brazil,,Brasilia,6,21,1995,66.1,18.944444444444443,1995-06-21,1995-06
172,South/Central America & Carribean,Brazil,,Brasilia,6,22,1995,66.6,19.222222222222218,1995-06-22,1995-06
173,South/Central America & Carribean,Brazil,,Brasilia,6,23,1995,66.7,19.27777777777778,1995-06-23,1995-06
174,South/Central America & Carribean,Brazil,,Brasilia,6,24,1995,66.3,19.055555555555557,1995-06-24,1995-06
